"","dt_Primary","total","female_percentage","male_percentage","DrugName","female_popularity","male_popularity"
"164","Psychedelic",5.41902258270291,0,0.00027,"Harmala Alkaloids",0,0.00667655786350148
"165","Stimulant",5.9139374137187,0.00036,0.00027,"Herbal Ecstasy",0.0056657223796034,0.00667655786350148
"166","Psychedelic",5.41902258270291,0,0.00027,"Mushrooms - P. subaeruginosa",0,0.00667655786350148
"167","Stimulant",5.12853387405436,0,0.00024,"2-Fluoromethamphetamine",0,0.00593471810089021
"168","Entactogen",5.41902258270291,0.00018,0.00024,"5-APB",0.0028328611898017,0.00593471810089021
"169","Psychedelic",5.12853387405436,0,0.00024,"Amanitas - A. pantherina",0,0.00593471810089021
"170","Stimulant",5.12853387405436,0,0.00024,"Ethylcathinone",0,0.00593471810089021
"171","Psychedelic",5.67887358726757,0.00036,0.00024,"MET",0.0056657223796034,0.00593471810089021
"172","Anti-Depressant",5.12853387405436,0,0.00024,"Pharms - Fluvoxamine",0,0.00593471810089021
"173","Psychedelic",4.79920493808856,0,0.00021,"25D-NBOMe",0,0.00519287833827893
"174","Stimulant",5.9139374137187,0.00073,0.00021,"4-Methylaminorex",0.0113314447592068,0.00519287833827893
"175","Stimulant",6.67887358726757,0.00145,0.00021,"Bad/Suspect Ecstasy",0.0226628895184136,0.00519287833827893
"176","Stimulant",4.79920493808856,0,0.00021,"Levmetamfetamine",0,0.00519287833827893
"177","Depressant",4.79920493808856,0,0.00021,"Pharms - Midazolam",0,0.00519287833827893
"178","Stimulant",6.67887358726757,0.00145,0.00021,"Pharms - Phentermine",0.0226628895184136,0.00519287833827893
"179","Entactogen",5.41902258270291,0.00036,0.00021,"PMA",0.0056657223796034,0.00519287833827893
"180","Stimulant",4.79920493808856,0,0.00021,"Sassafras",0,0.00519287833827893
"181","Anti-Depressant",5.12853387405436,0.00018,0.00021,"SSRIs",0.0028328611898017,0.00519287833827893
"182","Psychedelic",4.79920493808856,0,0.00021,"TMA-6",0,0.00519287833827893
"183","Psychedelic",4.41902258270291,0,0.00018,"25I-NBOH",0,0.00445103857566766
"184","Stimulant",4.79920493808856,0.00018,0.00018,"3-Methylmethcathinone",0.0028328611898017,0.00445103857566766
